Basename,Contrast,Dissimilarity,Homogeneity,Energy,Correlation,ASM,Gabor1,Gabor2,Gabor3,Gabor4,Gabor5,Gabor6,Gabor7,Gabor8,Gabor9,Gabor10,Gabor11
IR000,104.2914,3.4096,0.6471,0.571,0.9836,0.3261,7.9122,7.6218,19.126,6.9047,10.9206,13.613,19.5786,13.9414,9.0486,17.397,14.1076
IR002,83.7466,3.5707,0.6377,0.5797,0.9929,0.3361,3.8605,6.6712,17.4029,7.083,10.4523,12.0915,15.9225,11.932,9.1213,18.6632,11.1294
IR003,154.4463,4.9767,0.6784,0.6477,0.9801,0.4196,11.8348,15.1468,29.0474,15.1539,19.1649,22.7552,27.7037,22.2085,12.9662,26.0503,16.1833
IR004,82.5895,3.5267,0.5873,0.5021,0.9937,0.2521,11.1865,10.3589,16.3652,11.5248,8.7792,9.1333,11.0108,10.2055,7.2126,13.1197,8.1531
IR005,137.8476,4.3056,0.7125,0.6799,0.9851,0.4622,7.986,11.3854,19.4591,12.5618,14.439,16.1546,19.2914,18.2792,10.3946,20.8494,12.23
IR006,132.3264,2.848,0.7227,0.6609,0.9855,0.4368,11.5698,12.2031,17.1041,12.4923,9.2685,10.0148,12.7425,10.3989,6.3335,11.4318,8.2109
IR007,118.467,4.6491,0.562,0.4843,0.9766,0.2346,13.3971,10.2527,14.3158,10.8486,17.5083,14.2474,14.6302,15.1576,13.5453,20.4891,12.6224
IR008,135.7966,4.7021,0.6091,0.5517,0.9887,0.3044,9.528,12.0486,15.0711,12.5136,13.6999,14.8891,16.191,15.098,11.0883,21.4184,12.4137
IR009,114.7993,3.4838,0.7002,0.6603,0.9767,0.436,4.8747,9.2231,16.7262,7.5983,14.269,14.8418,19.4785,15.1224,11.3056,19.2012,12.8595
IR010,159.284,5.6858,0.5353,0.4717,0.9829,0.2225,16.1758,17.1635,19.8443,13.6102,18.2779,20.163,19.6615,18.535,14.5049,26.5161,15.3136
IR011,141.1524,3.7503,0.6655,0.6066,0.9742,0.368,11.6045,13.143,16.3477,13.3688,12.486,14.2817,16.4565,13.9056,10.1893,18.692,12.2019
IR012,103.1617,3.7416,0.5399,0.4439,0.9908,0.197,8.6236,10.6771,18.5521,10.6362,9.8452,11.9368,17.1536,11.8686,8.2773,15.8272,11.4218
IR013,249.0179,4.6241,0.7609,0.7305,0.9451,0.5337,9.1915,12.7059,16.7977,13.6007,16.215,17.2972,19.6021,18.1845,10.7668,20.0684,11.5558
IR014,75.8887,2.5491,0.7538,0.7155,0.9802,0.5119,6.329,8.0214,16.89,10.4766,9.6483,9.9626,11.4474,10.2668,8.5627,13.7497,8.745
